1,2,3,4
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996
